127.0.0.1 - - [30/Jan/2020:11:33:15 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:33:16 +0800] "GET /this_is_demo/ HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:33:16 +0800] "GET /this_is_demo/ico/blue.jpg HTTP/1.1" 200 453414
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:33:41 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2320
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:33:41 +0800] "GET /.....path_name...../ HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:33:50 +0800] "GET /this_is_demo/ServiceServlet HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:34:03 +0800] "GET /this_is_demo/index.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:34:03 +0800] "GET /this_is_demo/ico/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:36:10 +0800] "GET /this_is_demo/index.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:36:10 +0800] "GET /this_is_demo/ico/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:49:05 +0800] "GET /this_is_demo/index.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:49:05 +0800] "GET /this_is_demo/ico/blue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:51:24 +0800] "GET /this_is_demo/index.jsp HTTP/1.1" 200 5278
0:0:0:0:0:0:0:1 - - [30/Jan/2020:11:51:24 +0800] "GET /this_is_demo/ico/blue.jpg HTTP/1.1" 304 -
