127.0.0.1 - - [25/Jan/2020:12:56:11 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Jan/2020:12:56:11 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [25/Jan/2020:12:56:11 +0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:34:43 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:34:44 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:34:45 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:34:55 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5258
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:36:04 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5249
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:40:35 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5204
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:40:49 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5244
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:41:38 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5172
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:42:29 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5203
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:42:30 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5203
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:45:18 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5029
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:46:44 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5029
0:0:0:0:0:0:0:1 - - [25/Jan/2020:13:46:45 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5029
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:05:19 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:05:20 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 5436
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:07:44 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:21:22 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2739
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:35:59 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:36:02 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [25/Jan/2020:14:36:19 +0800] "GET /this_is_demo/shopping.jsp HTTP/1.1" 200 2739
